Toronto Raptors,2016,82,.370,.451,6669,.373,.444,6732
Atlanta Hawks,2016,82,.350,.458,6923,.338,.432,7058
Miami Heat,2016,82,.336,.470,6697,.347,.442,6914
Milwaukee Bucks,2016,82,.345,.467,6740,.352,.454,6817
Chicago Bulls,2016,82,.371,.441,7170,.345,.441,7333
Detroit Pistons,2016,82,.345,.439,7087,.355,.461,6903
New Orleans Pelicans,2016,82,.360,.448,7040,.369,.468,6877
New Orleans Pelicans,2015,82,.370,.457,6795,.335,.456,6814
New Orleans Pelicans,2014,82,.373,.459,6761,.357,.465,6567
New Orleans Hornets,2013,82,.363,.448,6589,.374,.471,6435
New Orleans Hornets,2012,66,.333,.451,5103,.317,.444,5188
Houston Rockets,2011,82,.367,.454,6975,.358,.468,6979
New Orleans Hornets,2010,82,.363,.464,6842,.355,.483,6730
Memphis Grizzlies,2009,82,.360,.454,6311,.355,.473,6378
Memphis Grizzlies,2008,82,.349,.454,6737,.364,.480,7076
Memphis Grizzlies,2007,82,.367,.465,6448,.389,.486,6761
Houston Rockets,2006,82,.332,.433,6252,.369,.429,6310
New Orleans/Oklahoma City Hornets,2006,82,.339,.440,6428,.367,.459,6286
Memphis Grizzlies,2006,82,.374,.448,6125,.334,.436,6172
Dallas Mavericks,2006,82,.374,.462,6375,.361,.443,6319
San Antonio Spurs,2006,82,.385,.472,6342,.339,.433,6420
Golden State Warriors,2006,82,.341,.433,6785,.351,.457,6674
Sacramento Kings,2006,82,.351,.454,6500,.351,.454,6726
Los Angeles Lakers,2006,82,.349,.453,6607,.353,.450,6547
Los Angeles Clippers,2006,82,.344,.465,6443,.347,.435,6638
Phoenix Suns,2006,82,.399,.479,7167,.363,.454,7141
Portland Trail Blazers,2006,82,.349,.445,6267,.381,.468,6472
Minnesota Timberwolves,2006,82,.329,.456,6340,.364,.441,6474
Seattle SuperSonics,2006,82,.371,.459,6711,.375,.485,6596
Utah Jazz,2006,82,.336,.442,6207,.378,.449,6077
Denver Nuggets,2006,82,.325,.461,6672,.358,.454,6764
Atlanta Hawks,2006,82,.367,.454,6496,.368,.478,6433
Charlotte Bobcats,2006,82,.339,.433,6843,.356,.478,6410
Orlando Magic,2006,82,.376,.472,6167,.357,.454,6327
Washington Wizards,2006,82,.357,.447,6656,.363,.465,6477
Miami Heat,2006,82,.345,.478,6355,.361,.440,6529
Milwaukee Bucks,2006,82,.380,.453,6566,.354,.466,6383
Chicago Bulls,2006,82,.379,.446,6737,.351,.426,6515
Indiana Pacers,2006,82,.349,.444,6274,.343,.435,6504
Cleveland Cavaliers,2006,82,.339,.454,6412,.356,.455,6481
Detroit Pistons,2006,82,.384,.455,6558,.325,.452,6450
New York Knicks,2006,82,.362,.455,6206,.378,.467,6359
Toronto Raptors,2006,82,.375,.454,6639,.373,.491,6448
Boston Celtics,2006,82,.362,.467,6322,.353,.456,6462
Philadelphia 76ers,2006,82,.364,.458,6546,.351,.463,6699
New Jersey Nets,2006,82,.330,.440,6317,.348,.439,6222
New Orleans/Oklahoma City Hornets,2007,82,.362,.445,6674,.355,.457,6579
Houston Rockets,2007,82,.372,.445,6528,.351,.429,6503
San Antonio Spurs,2007,82,.381,.474,6328,.334,.443,6463
Dallas Mavericks,2007,82,.381,.467,6442,.349,.447,6241
Sacramento Kings,2007,82,.350,.450,6532,.365,.472,6671
Los Angeles Clippers,2007,82,.348,.456,6318,.339,.452,6436
Golden State Warriors,2007,82,.356,.463,7048,.366,.462,6871
Los Angeles Lakers,2007,82,.353,.466,6664,.358,.461,6719
Phoenix Suns,2007,82,.399,.494,6855,.363,.457,7087
Seattle SuperSonics,2007,82,.362,.460,6628,.361,.476,6568
Minnesota Timberwolves,2007,82,.353,.461,6503,.348,.460,6689
Portland Trail Blazers,2007,82,.346,.450,6392,.361,.471,6292
Denver Nuggets,2007,82,.336,.465,6805,.353,.460,7088
Utah Jazz,2007,82,.335,.474,6471,.355,.455,6191
Atlanta Hawks,2007,82,.329,.444,6372,.376,.466,6335
Charlotte Bobcats,2007,82,.357,.446,6643,.363,.465,6450
Orlando Magic,2007,82,.356,.472,6090,.353,.442,6191
Washington Wizards,2007,82,.348,.450,6820,.377,.473,6700
Miami Heat,2007,82,.343,.464,6288,.355,.444,6517
Milwaukee Bucks,2007,82,.356,.465,6714,.368,.480,6673
Indiana Pacers,2007,82,.346,.438,6561,.372,.457,6416
Chicago Bulls,2007,82,.388,.457,6663,.349,.435,6416
Cleveland Cavaliers,2007,82,.352,.447,6658,.329,.448,6337
Detroit Pistons,2007,82,.344,.454,6484,.339,.445,6337
Boston Celtics,2007,82,.367,.443,6454,.354,.468,6337
New York Knicks,2007,82,.346,.457,6356,.376,.460,6566
Philadelphia 76ers,2007,82,.345,.458,6408,.353,.463,6570
New Jersey Nets,2007,82,.363,.457,6379,.357,.450,6476
Toronto Raptors,2007,82,.363,.463,6547,.357,.463,6593
Dallas Mavericks,2008,82,.352,.464,6515,.349,.443,6551
Houston Rockets,2008,82,.342,.448,6698,.365,.433,6594
San Antonio Spurs,2008,82,.369,.457,6424,.342,.444,6431
New Orleans Hornets,2008,82,.389,.466,6796,.351,.460,6604
Los Angeles Clippers,2008,82,.324,.438,6445,.349,.467,6670
Sacramento Kings,2008,82,.373,.464,6558,.373,.466,6732
Golden State Warriors,2008,82,.348,.459,7406,.368,.468,6998
Phoenix Suns,2008,82,.393,.500,6782,.353,.456,7384
Los Angeles Lakers,2008,82,.378,.476,6818,.362,.445,7022
Seattle SuperSonics,2008,82,.333,.444,7032,.385,.461,7136
Minnesota Timberwolves,2008,82,.350,.451,6817,.357,.472,6481
Portland Trail Blazers,2008,82,.377,.448,6546,.356,.451,6616
Denver Nuggets,2008,82,.355,.470,7038,.363,.457,7303
Utah Jazz,2008,82,.372,.497,6592,.357,.461,6286
Miami Heat,2008,82,.358,.443,6336,.369,.468,6477
Charlotte Bobcats,2008,82,.367,.452,6554,.355,.466,6684
Atlanta Hawks,2008,82,.356,.454,6552,.362,.463,6733
Washington Wizards,2008,82,.356,.446,6695,.386,.461,6537
Orlando Magic,2008,82,.386,.474,6446,.358,.446,6855
Milwaukee Bucks,2008,82,.344,.449,6745,.384,.480,6562
Chicago Bulls,2008,82,.363,.435,6861,.375,.453,6583
Indiana Pacers,2008,82,.374,.444,6993,.386,.454,6817
Cleveland Cavaliers,2008,82,.358,.439,6697,.357,.455,6462
Detroit Pistons,2008,82,.366,.458,6551,.332,.437,6239
New York Knicks,2008,82,.337,.439,6757,.369,.474,6711
New Jersey Nets,2008,82,.348,.443,6450,.369,.456,6543
Philadelphia 76ers,2008,82,.317,.460,6648,.360,.461,6504
Toronto Raptors,2008,82,.392,.468,6726,.368,.458,6569
Boston Celtics,2008,82,.381,.475,6286,.316,.419,6341
New Orleans Hornets,2009,82,.364,.457,6366,.354,.450,6329
Dallas Mavericks,2009,82,.350,.462,6770,.375,.455,6752
Houston Rockets,2009,82,.375,.453,6526,.357,.444,6735
San Antonio Spurs,2009,82,.386,.466,6534,.379,.453,6568
Sacramento Kings,2009,82,.368,.447,6685,.406,.483,6792
Los Angeles Clippers,2009,82,.354,.441,6696,.375,.473,6805
Golden State Warriors,2009,82,.373,.458,7055,.380,.468,7273
Phoenix Suns,2009,82,.383,.504,6695,.383,.467,7025
Los Angeles Lakers,2009,82,.361,.474,6981,.345,.447,6825
Oklahoma City Thunder,2009,82,.346,.447,6716,.364,.475,6799
Minnesota Timberwolves,2009,82,.353,.441,6766,.377,.474,6561
Utah Jazz,2009,82,.349,.475,6623,.361,.464,6509
Portland Trail Blazers,2009,82,.383,.465,6494,.374,.460,6302
Denver Nuggets,2009,82,.371,.470,6510,.366,.440,6738
Washington Wizards,2009,82,.330,.450,6655,.387,.482,6565
Charlotte Bobcats,2009,82,.366,.455,6299,.366,.454,6349
Miami Heat,2009,82,.357,.457,6646,.389,.455,6412
Atlanta Hawks,2009,82,.366,.458,6451,.353,.454,6609
Orlando Magic,2009,82,.381,.457,6416,.342,.433,6785
Milwaukee Bucks,2009,82,.363,.445,6755,.378,.458,6233
Indiana Pacers,2009,82,.378,.455,7080,.375,.458,6862
Detroit Pistons,2009,82,.349,.454,6559,.354,.451,6380
Chicago Bulls,2009,82,.381,.457,6846,.347,.458,6864
Cleveland Cavaliers,2009,82,.393,.468,6454,.333,.431,6444
New York Knicks,2009,82,.360,.445,7091,.351,.480,7041
Toronto Raptors,2009,82,.372,.458,6673,.367,.465,6827
New Jersey Nets,2009,82,.376,.448,6536,.391,.462,6385
Philadelphia 76ers,2009,82,.318,.459,6532,.367,.462,6489
Boston Celtics,2009,82,.397,.486,6333,.349,.431,6418
Memphis Grizzlies,2010,82,.337,.469,6875,.354,.478,6849
Houston Rockets,2010,82,.351,.447,6923,.364,.475,6810
San Antonio Spurs,2010,82,.358,.473,6659,.343,.452,6691
Dallas Mavericks,2010,82,.372,.464,6760,.347,.457,6805
Sacramento Kings,2010,82,.349,.456,6895,.357,.469,6828
Golden State Warriors,2010,82,.375,.469,7094,.375,.485,7033
Los Angeles Clippers,2010,82,.332,.455,6601,.363,.470,6792
Phoenix Suns,2010,82,.412,.492,6788,.355,.452,7165
Los Angeles Lakers,2010,82,.341,.457,6875,.328,.446,6840
Minnesota Timberwolves,2010,82,.341,.449,6923,.366,.480,6961
Oklahoma City Thunder,2010,82,.340,.462,6629,.340,.448,6718
Portland Trail Blazers,2010,82,.354,.461,6453,.343,.464,6352
Utah Jazz,2010,82,.364,.491,6575,.354,.449,6471
Denver Nuggets,2010,82,.359,.468,6678,.349,.456,6766
Washington Wizards,2010,82,.353,.449,6700,.360,.463,6664
Charlotte Bobcats,2010,82,.346,.453,6306,.338,.448,6536
Miami Heat,2010,82,.346,.458,6518,.342,.439,6408
Atlanta Hawks,2010,82,.360,.468,6801,.345,.460,6623
Orlando Magic,2010,82,.375,.470,6394,.363,.438,6739
Detroit Pistons,2010,82,.314,.445,6602,.375,.480,6172
Indiana Pacers,2010,82,.348,.443,6823,.363,.453,6875
Chicago Bulls,2010,82,.330,.451,6825,.348,.442,6885
Milwaukee Bucks,2010,82,.356,.436,6998,.343,.451,6361
Cleveland Cavaliers,2010,82,.381,.485,6391,.347,.442,6633
New Jersey Nets,2010,82,.318,.429,6554,.366,.481,6593
Philadelphia 76ers,2010,82,.343,.460,6706,.393,.472,6573
New York Knicks,2010,82,.346,.455,6876,.352,.486,6902
Toronto Raptors,2010,82,.371,.482,6631,.366,.468,6824
Boston Celtics,2010,82,.348,.483,6294,.342,.451,6390
Memphis Grizzlies,2011,82,.334,.471,6801,.369,.457,6489
New Orleans Hornets,2011,82,.360,.459,6416,.357,.457,6306
Dallas Mavericks,2011,82,.365,.475,6463,.343,.450,6656
San Antonio Spurs,2011,82,.397,.475,6628,.367,.456,6860
Sacramento Kings,2011,82,.335,.449,6979,.355,.478,6826
Los Angeles Clippers,2011,82,.338,.457,6594,.365,.455,6688
Golden State Warriors,2011,82,.392,.461,7047,.358,.467,6788
Phoenix Suns,2011,82,.377,.470,6844,.367,.472,7018
Los Angeles Lakers,2011,82,.352,.463,6757,.335,.437,6888
Minnesota Timberwolves,2011,82,.376,.441,7014,.374,.468,6902
Utah Jazz,2011,82,.346,.465,6590,.376,.459,6460
Portland Trail Blazers,2011,82,.345,.447,6599,.367,.467,6218
Denver Nuggets,2011,82,.388,.476,6613,.344,.459,6876
Oklahoma City Thunder,2011,82,.347,.464,6609,.361,.458,6823
Washington Wizards,2011,82,.332,.443,6888,.373,.471,6741
Charlotte Bobcats,2011,82,.327,.451,6365,.359,.455,6492
Atlanta Hawks,2011,82,.352,.462,6429,.338,.460,6537
Orlando Magic,2011,82,.366,.461,6411,.350,.436,6569
Miami Heat,2011,82,.370,.481,6301,.345,.434,6614
Cleveland Cavaliers,2011,82,.342,.434,6647,.411,.475,6804
Detroit Pistons,2011,82,.376,.460,6647,.358,.486,6405
Milwaukee Bucks,2011,82,.342,.430,6544,.334,.447,6342
Indiana Pacers,2011,82,.354,.442,6787,.359,.449,6837
Chicago Bulls,2011,82,.361,.462,6587,.326,.430,6523
Toronto Raptors,2011,82,.316,.465,6755,.376,.482,6668
New Jersey Nets,2011,82,.343,.440,6638,.364,.465,6602
Philadelphia 76ers,2011,82,.355,.461,6776,.340,.451,6638
New York Knicks,2011,82,.368,.457,6867,.372,.472,6870
Boston Celtics,2011,82,.365,.486,6219,.340,.434,6371
Houston Rockets,2012,66,.359,.449,5543,.325,.456,5427
Dallas Mavericks,2012,66,.339,.443,5412,.346,.435,5390
Memphis Grizzlies,2012,66,.326,.447,5422,.345,.444,5132
San Antonio Spurs,2012,66,.393,.478,5463,.353,.452,5560
Sacramento Kings,2012,66,.316,.436,5712,.355,.476,5609
Golden State Warriors,2012,66,.388,.457,5443,.365,.453,5431
Phoenix Suns,2012,66,.343,.458,5445,.352,.455,5510
Los Angeles Clippers,2012,66,.357,.455,5366,.365,.447,5098
Los Angeles Lakers,2012,66,.326,.457,5319,.348,.437,5703
Minnesota Timberwolves,2012,66,.332,.433,5434,.340,.455,5656
Portland Trail Blazers,2012,66,.346,.443,5417,.363,.463,5349
Utah Jazz,2012,66,.323,.456,5531,.340,.453,5310
Denver Nuggets,2012,66,.332,.476,5404,.383,.456,5569
Oklahoma City Thunder,2012,66,.358,.471,5229,.342,.427,5629
Charlotte Bobcats,2012,66,.295,.414,5293,.356,.475,5411
Washington Wizards,2012,66,.320,.441,5475,.350,.453,5352
Orlando Magic,2012,66,.375,.441,5162,.347,.449,5287
Atlanta Hawks,2012,66,.370,.454,5348,.344,.444,5366
Miami Heat,2012,66,.359,.469,5212,.363,.434,5267
Cleveland Cavaliers,2012,66,.346,.422,5360,.362,.467,5431
Detroit Pistons,2012,66,.346,.438,5232,.355,.462,5147
Milwaukee Bucks,2012,66,.345,.443,5652,.351,.449,5453
Indiana Pacers,2012,66,.368,.438,5375,.351,.435,5304
Chicago Bulls,2012,66,.375,.452,5462,.325,.421,5420
New Jersey Nets,2012,66,.342,.425,5320,.374,.472,5294
Toronto Raptors,2012,66,.340,.440,5154,.328,.435,5130
Philadelphia 76ers,2012,66,.362,.448,5516,.334,.427,5302
New York Knicks,2012,66,.336,.443,5335,.359,.442,5238
Boston Celtics,2012,66,.367,.460,5086,.308,.419,5262
Dallas Mavericks,2013,82,.372,.462,6892,.359,.445,6890
Houston Rockets,2013,82,.366,.461,6782,.368,.454,7007
Memphis Grizzlies,2013,82,.345,.444,6679,.338,.435,6312
San Antonio Spurs,2013,82,.376,.481,6675,.353,.442,6960
Phoenix Suns,2013,82,.330,.443,6917,.388,.470,6771
Sacramento Kings,2013,82,.363,.447,6904,.355,.472,6831
Los Angeles Lakers,2013,82,.355,.458,6640,.357,.453,7180
Golden State Warriors,2013,82,.403,.458,6840,.347,.439,6954
Los Angeles Clippers,2013,82,.358,.478,6608,.373,.443,6397
Minnesota Timberwolves,2013,82,.305,.439,6702,.369,.468,6657
Portland Trail Blazers,2013,82,.353,.448,6715,.340,.474,6807
Utah Jazz,2013,82,.366,.454,6710,.370,.458,6550
Denver Nuggets,2013,82,.343,.478,6983,.363,.444,7025
Oklahoma City Thunder,2013,82,.377,.481,6504,.346,.425,6972
Orlando Magic,2013,82,.329,.448,6904,.359,.463,6842
Charlotte Bobcats,2013,82,.335,.425,6649,.388,.471,6762
Washington Wizards,2013,82,.365,.435,6693,.349,.440,6697
Atlanta Hawks,2013,82,.371,.464,6644,.379,.450,6823
Miami Heat,2013,82,.396,.496,6348,.350,.440,6633
Cleveland Cavaliers,2013,82,.346,.434,6901,.372,.476,6527
Detroit Pistons,2013,82,.356,.449,6638,.360,.459,6655
Milwaukee Bucks,2013,82,.360,.435,7197,.348,.454,6946
Chicago Bulls,2013,82,.353,.437,6698,.346,.443,6565
Indiana Pacers,2013,81,.347,.436,6525,.327,.420,6657
Toronto Raptors,2013,82,.343,.446,6685,.361,.458,6493
Philadelphia 76ers,2013,82,.360,.444,6895,.349,.454,6643
Boston Celtics,2013,81,.358,.465,6459,.342,.441,6639
Brooklyn Nets,2013,82,.357,.450,6544,.366,.464,6614
New York Knicks,2013,82,.376,.448,6689,.357,.458,6365
Dallas Mavericks,2014,82,.384,.474,6858,.359,.464,6673
Memphis Grizzlies,2014,82,.353,.464,6723,.355,.450,6500
Houston Rockets,2014,82,.358,.472,6603,.353,.443,7218
San Antonio Spurs,2014,82,.397,.486,6844,.353,.444,6976
Los Angeles Lakers,2014,82,.381,.450,6980,.361,.468,7350
Sacramento Kings,2014,82,.333,.447,6766,.380,.461,6734
Phoenix Suns,2014,82,.372,.463,6845,.341,.456,6840
Golden State Warriors,2014,82,.380,.462,7005,.344,.436,6920
Los Angeles Clippers,2014,82,.352,.474,6761,.332,.441,6958
Utah Jazz,2014,82,.344,.444,6652,.376,.473,6639
Denver Nuggets,2014,82,.358,.447,7042,.351,.457,7086
Minnesota Timberwolves,2014,82,.341,.444,7175,.364,.471,7048
Portland Trail Blazers,2014,82,.372,.450,7134,.355,.451,7203
Oklahoma City Thunder,2014,82,.361,.471,6782,.358,.436,6842
Orlando Magic,2014,82,.353,.445,6784,.371,.456,6861
Atlanta Hawks,2014,82,.363,.458,6688,.365,.462,6843
Charlotte Bobcats,2014,82,.351,.442,6730,.369,.442,6838
Washington Wizards,2014,82,.380,.459,6920,.347,.458,6632
Miami Heat,2014,82,.364,.501,6272,.362,.457,6475
Milwaukee Bucks,2014,82,.353,.438,6737,.382,.468,6722
Detroit Pistons,2014,82,.321,.447,7124,.365,.470,6820
Cleveland Cavaliers,2014,82,.356,.437,6955,.367,.452,6847
Chicago Bulls,2014,82,.348,.432,6577,.351,.430,6660
Indiana Pacers,2014,82,.357,.449,6573,.345,.420,6785
Philadelphia 76ers,2014,82,.312,.435,7150,.370,.471,6975
Boston Celtics,2014,82,.333,.435,6883,.347,.465,6675
New York Knicks,2014,82,.372,.449,6739,.371,.458,6401
Brooklyn Nets,2014,82,.369,.459,6391,.367,.458,6511
Toronto Raptors,2014,82,.372,.445,6718,.360,.450,6573
Dallas Mavericks,2015,82,.352,.463,7036,.364,.450,6930
Memphis Grizzlies,2015,82,.339,.458,6763,.351,.442,6684
San Antonio Spurs,2015,82,.367,.468,6854,.360,.444,6861
Los Angeles Lakers,2015,82,.344,.435,7020,.363,.466,6817
Sacramento Kings,2015,82,.341,.455,6617,.349,.456,7094
Phoenix Suns,2015,82,.341,.452,7038,.352,.452,6972
Los Angeles Clippers,2015,82,.376,.473,6830,.349,.442,6745
Golden State Warriors,2015,82,.398,.478,7137,.337,.428,7084
Minnesota Timberwolves,2015,82,.332,.438,6820,.367,.487,6933
Denver Nuggets,2015,82,.325,.433,7158,.346,.458,6909
Utah Jazz,2015,82,.343,.447,6492,.362,.446,6587
Oklahoma City Thunder,2015,82,.339,.447,7119,.343,.440,7008
Portland Trail Blazers,2015,82,.362,.450,7049,.338,.439,7123
Orlando Magic,2015,82,.347,.453,6792,.368,.463,6720
Charlotte Hornets,2015,82,.318,.420,6932,.357,.440,6863
Miami Heat,2015,82,.335,.456,6330,.353,.454,6523
Washington Wizards,2015,82,.360,.462,6790,.349,.433,6844
Atlanta Hawks,2015,82,.380,.466,6699,.341,.439,6815
Detroit Pistons,2015,82,.344,.432,7038,.355,.456,6817
Indiana Pacers,2015,82,.352,.439,6824,.345,.435,6784
Milwaukee Bucks,2015,82,.363,.459,6722,.342,.437,6681
Chicago Bulls,2015,82,.353,.442,6797,.335,.435,7109
Cleveland Cavaliers,2015,82,.367,.458,6739,.343,.456,6850
New York Knicks,2015,82,.347,.428,6726,.380,.460,6592
Philadelphia 76ers,2015,82,.320,.408,6777,.350,.449,6785
Brooklyn Nets,2015,82,.331,.451,6804,.358,.456,6913
Boston Celtics,2015,82,.327,.443,7211,.336,.450,6943
Toronto Raptors,2015,82,.352,.455,6829,.346,.459,6787
Houston Rockets,2016,82,.347,.452,6847,.361,.459,6977
Memphis Grizzlies,2016,82,.331,.440,6859,.365,.456,6459
Dallas Mavericks,2016,82,.344,.444,6900,.342,.451,6971
San Antonio Spurs,2016,82,.375,.484,6797,.331,.436,6709
Los Angeles Lakers,2016,82,.317,.414,6956,.347,.473,7023
Phoenix Suns,2016,82,.348,.435,7018,.377,.467,6870
Sacramento Kings,2016,82,.359,.464,7083,.366,.462,7194
Los Angeles Clippers,2016,82,.364,.465,6759,.338,.434,6946
Golden State Warriors,2016,82,.416,.487,7159,.332,.435,7330
Minnesota Timberwolves,2016,82,.338,.464,6668,.355,.471,6962
Denver Nuggets,2016,82,.338,.442,7003,.371,.461,6904
Utah Jazz,2016,82,.355,.449,6593,.357,.446,6549
Portland Trail Blazers,2016,82,.370,.450,7040,.371,.453,6945
Oklahoma City Thunder,2016,82,.349,.476,7082,.342,.438,7192
Orlando Magic,2016,82,.350,.455,7120,.359,.460,6850
Washington Wizards,2016,82,.358,.460,7033,.371,.462,6868
Charlotte Hornets,2016,82,.362,.439,6922,.349,.444,6971
Indiana Pacers,2016,82,.351,.450,6985,.334,.440,6962
Cleveland Cavaliers,2016,82,.362,.460,6888,.347,.448,6736
Philadelphia 76ers,2016,82,.339,.431,6887,.359,.464,7005
Brooklyn Nets,2016,82,.352,.453,6920,.369,.479,6984
New York Knicks,2016,82,.346,.439,6886,.341,.443,7035
Boston Celtics,2016,82,.335,.439,7318,.336,.441,6973
